Date,Open,High,Low,Close,Share Volume
09 Oct 1997,783.15,783.15,783.15,783.15,0
10 Oct 1997,785.41,785.41,785.41,785.41,0
13 Oct 1997,786.51,786.51,786.51,786.51,0
14 Oct 1997,790.44,790.44,790.44,790.44,0
16 Oct 1997,775.63,775.63,775.63,775.63,0
17 Oct 1997,771.58,771.58,771.58,771.58,0
20 Oct 1997,769.23,769.23,769.23,769.23,0
21 Oct 1997,769.7,769.7,769.7,769.7,0
22 Oct 1997,768.61,768.61,768.61,768.61,0
23 Oct 1997,766.67,766.67,766.67,766.67,0
24 Oct 1997,760.14,760.14,760.14,760.14,0
27 Oct 1997,758.57,758.57,758.57,758.57,0
28 Oct 1997,739.9,739.9,739.9,739.9,0
29 Oct 1997,733.14,733.14,733.14,733.14,0
30 Oct 1997,734.01,734.01,734.01,734.01,0
31 Oct 1997,728.49,728.49,728.49,728.49,0
03 Nov 1997,729.75,729.75,729.75,729.75,0
04 Nov 1997,730.32,730.32,730.32,730.32,0
05 Nov 1997,734.63,734.63,734.63,734.63,0
06 Nov 1997,737.84,737.84,737.84,737.84,0
07 Nov 1997,737.45,737.45,737.45,737.45,0
10 Nov 1997,732.22,732.22,732.22,732.22,0
11 Nov 1997,723.99,723.99,723.99,723.99,0
12 Nov 1997,712.44,712.44,712.44,712.44,0
13 Nov 1997,705.13,705.13,705.13,705.13,0
17 Nov 1997,696.46,696.46,696.46,696.46,0
18 Nov 1997,681.34,681.34,681.34,681.34,0
19 Nov 1997,684.8,684.8,684.8,684.8,0
20 Nov 1997,686.12,686.12,686.12,686.12,0
21 Nov 1997,680.1,680.1,680.1,680.1,0
24 Nov 1997,678.08,678.08,678.08,678.08,0
25 Nov 1997,670.44,670.44,670.44,670.44,0
26 Nov 1997,666.1,666.1,666.1,666.1,0
27 Nov 1997,667.57,667.57,667.57,667.57,0
28 Nov 1997,671.45,671.45,671.45,671.45,0
01 Dec 1997,676.03,676.03,676.03,676.03,0
02 Dec 1997,675.16,675.16,675.16,675.16,0
03 Dec 1997,676.89,676.89,676.89,676.89,0
04 Dec 1997,676.09,676.09,676.09,676.09,0
05 Dec 1997,678.8,678.8,678.8,678.8,0
08 Dec 1997,680.2,680.2,680.2,680.2,0
09 Dec 1997,685.74,685.74,685.74,685.74,0
10 Dec 1997,698.16,698.16,698.16,698.16,0
11 Dec 1997,701.12,701.12,701.12,701.12,0
12 Dec 1997,700.82,700.82,700.82,700.82,0
15 Dec 1997,700.03,700.03,700.03,700.03,0
16 Dec 1997,692.66,692.66,692.66,692.66,0
17 Dec 1997,690.6,690.6,690.6,690.6,0
18 Dec 1997,688.67,688.67,688.67,688.67,0
19 Dec 1997,687.91,687.91,687.91,687.91,0
22 Dec 1997,688.41,688.41,688.41,688.41,0
23 Dec 1997,688.32,688.32,688.32,688.32,0
24 Dec 1997,693.85,693.85,693.85,693.85,0
29 Dec 1997,697.7,697.7,697.7,697.7,0
30 Dec 1997,695.96,695.96,695.96,695.96,0
31 Dec 1997,702.17,702.17,702.17,702.17,0
02 Jan 1998,707.74,707.74,707.74,707.74,0
05 Jan 1998,713.33,713.33,713.33,713.33,0
06 Jan 1998,712.94,712.94,712.94,712.94,0
07 Jan 1998,710.52,710.52,710.52,710.52,0
08 Jan 1998,701.34,701.34,701.34,701.34,0
09 Jan 1998,705.02,705.02,705.02,705.02,0
13 Jan 1998,699.15,699.15,699.15,699.15,0
15 Jan 1998,693.95,693.95,693.95,693.95,0
16 Jan 1998,685.09,685.09,685.09,685.09,0
19 Jan 1998,680.37,680.37,680.37,680.37,0
20 Jan 1998,676.77,676.77,676.77,676.77,0
21 Jan 1998,669.21,669.21,669.21,669.21,0
22 Jan 1998,666.07,666.07,666.07,666.07,0
23 Jan 1998,662.5,662.5,662.5,662.5,0
26 Jan 1998,655.91,655.91,655.91,655.91,0
27 Jan 1998,656.29,656.29,656.29,656.29,0
28 Jan 1998,657.8,657.8,657.8,657.8,0
29 Jan 1998,661.78,661.78,661.78,661.78,0
30 Jan 1998,662.12,662.12,662.12,662.12,0
02 Feb 1998,665.12,665.12,665.12,665.12,0
03 Feb 1998,665.94,665.94,665.94,665.94,0
06 Feb 1998,666.57,666.57,666.57,666.57,0
09 Feb 1998,669.31,669.31,669.31,669.31,0
11 Feb 1998,668.7,668.7,668.7,668.7,0
12 Feb 1998,672.47,672.47,672.47,672.47,0
13 Feb 1998,679.89,679.89,679.89,679.89,0
16 Feb 1998,680.74,680.74,680.74,680.74,0
17 Feb 1998,684.56,684.56,684.56,684.56,0
18 Feb 1998,690.03,690.03,690.03,690.03,0
19 Feb 1998,698.4,698.4,698.4,698.4,0
20 Feb 1998,701.44,701.44,701.44,701.44,0
23 Feb 1998,699.88,699.88,699.88,699.88,0
24 Feb 1998,695.75,695.75,695.75,695.75,0
25 Feb 1998,689.26,689.26,689.26,689.26,0
26 Feb 1998,693.48,693.48,693.48,693.48,0
27 Feb 1998,694.91,694.91,694.91,694.91,0
02 Mar 1998,697.57,697.57,697.57,697.57,0
